@relation 'datacenter_ai_environmental_waste_risk_v2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R27-29-weka.filters.unsupervised.attribute.NumericToNominal-R16-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute water_usage_effectiveness numeric
@attribute inlet_temperature_c numeric
@attribute gpu_utilization_percent numeric
@attribute job_status {success,failed,aborted,running}
@attribute rack_power_density_kw numeric
@attribute environmental_waste_risk_level {baixo,moderado,alto}

@data
0.023504,0.101563,0.01087,success,0,baixo
0.324786,0.53125,0.25,success,0.408696,alto
0.211538,0.515625,0.836957,success,0.225217,baixo
0.147436,0.5,0.826087,success,0.112174,baixo
0.094017,0.351563,0.869565,success,0.056522,baixo
0.185897,0.53125,0.25,success,0.408696,alto
0.087607,0.382813,0.913043,success,0.06087,baixo
0.254274,0.476563,0.641304,success,0.133913,moderado
0.175214,0.53125,0.271739,success,0.123478,alto
0.025641,0.039063,0.032609,success,0,baixo
0.081197,0.414063,0.967391,success,0.129565,baixo
0.378205,0.648438,0.358696,success,0.268696,alto
0.134615,0.375,0.967391,success,0.104348,baixo
0.378205,0.53125,0.358696,success,0.252174,alto
0.213675,0.53125,0.01087,success,0.269565,alto
0.185897,0.53125,0.26087,failed,0.203478,alto
0.108974,0.25,0.934783,running,0.072174,baixo
0.474359,0.765625,0.445652,failed,0.782609,alto
0.209858,0.648438,0.336957,failed,0.6,alto
0.307692,0.578125,0.771739,success,0.182609,moderado
0.002137,0.242188,0.717391,success,0.005217,baixo
0.130342,0.390625,0.891304,success,0.134783,baixo
0.155983,0.40625,0.728261,success,0.052174,moderado
0.138889,0.429688,0.608696,running,0.023478,moderado
0.102564,0.429688,0.913043,success,0.090435,baixo
0.036325,0.421875,0.978261,success,0.067826,baixo
0.138889,0.453125,0.869565,success,0.06087,baixo
0.16453,0.6875,0.304348,failed,0.669565,alto
0.194444,0.4375,0.891304,success,0.084348,baixo
0.42094,0.609375,0.021739,aborted,0.513043,alto
0.209858,0.257813,0.902174,success,0.002609,baixo
0.16453,0.429688,0.771739,success,0.046957,baixo
0.175214,0.53125,0.271739,success,0.168696,alto
0.209858,0.53125,0.01087,aborted,0.408696,alto
0.15812,0.4375,0.673913,success,0.050435,moderado
0.356838,0.570313,0.076087,running,0.330435,alto
0.044872,0.148438,0.76087,success,0,baixo
0.117521,0.367187,0.771739,success,0.250435,moderado
0.047009,0.179688,0.5,success,0.016522,baixo
0.08547,0.40625,0.869565,success,0.150435,moderado
0.192308,0.53125,0.271739,running,0.443478,alto
0.162393,0.3125,0.597826,success,0.05913,baixo
0.038462,0.179688,0.913043,success,0.053043,baixo
0.222222,0.53125,0.728261,success,0.073913,baixo
0.50641,0.53125,0.184783,running,0.304348,alto
0.100427,0.210937,0.880435,running,0.02087,baixo
0.168803,0.429688,0.815217,success,0.108696,baixo
0.134615,0.359375,0.728261,success,0.047826,moderado
0.074786,0.226563,0.717391,success,0.042609,moderado
0.188034,0.25,0.782609,success,0.090435,moderado
0.128205,0.492188,0.782609,success,0.041739,baixo
0.209858,0.453125,0.206522,failed,0.304348,alto
0.277778,0.21875,0.608696,success,0.016522,moderado
0.209858,0.53125,0.26087,success,0.815652,alto
0.155983,0.53125,0.684783,success,0.05913,moderado
0.399573,0.726563,0.369565,failed,0.747826,alto
0.017094,0.15625,0.836957,success,0.026087,baixo
0.138889,0.476563,0.5,success,0.031304,moderado
0.162393,0.359375,0.597826,success,0.050435,baixo
0.346154,0.6875,0.163043,success,0.652174,alto
0.209858,0.265625,0.847826,success,0.02,baixo
0.160256,0.445312,0.75,success,0.075652,moderado
0.356838,0.609375,0.391304,running,0.608696,alto
0.59188,0.84375,0.380435,failed,0.669565,alto
0.326923,0.671875,0.728261,success,0.24087,moderado
0.094017,0.453125,0.771739,success,0.049565,baixo
0.036325,0.382813,0.880435,success,0.086957,baixo
0.106838,0.328125,0.554348,success,0.328696,moderado
0.196581,0.53125,0.282609,running,0.434783,alto
0.549145,0.921875,0.48913,success,0.236522,alto
0.378205,0.492188,0.184783,failed,0.321739,alto
0.089744,0.210937,0.836957,success,0.029565,baixo
0.196581,0.453125,0.608696,success,0.414783,moderado
0.087607,0.101563,0.076087,success,0,baixo
0.07265,0.414063,0.826087,success,0.095652,baixo
0.051282,0.148438,0.065217,success,0,baixo
0.207265,0.570313,0.282609,failed,0.232174,alto
0.17094,0.351563,0.315217,success,0.036522,moderado
0.17735,0.320313,0.532609,success,0.04,baixo
0.113248,0.28125,0.826087,success,0.035652,moderado
0.200855,0.765625,0.456522,failed,0.843478,alto
0.155983,0.453125,0.663043,success,0.102609,baixo
0.117521,0.367187,0.771739,success,0.053913,baixo
0.224359,0.765625,0.347826,failed,0.791304,alto
0.147436,0.40625,0.728261,success,0.097391,moderado
0.232906,0.46875,0.51087,success,0.023478,moderado
0.284188,0.609375,0.717391,aborted,0.153913,moderado
0.104701,0.507813,0.945652,success,0.197391,baixo
0.138889,0.546875,0.619565,success,0.076522,moderado
0.132479,0.53125,0.75,success,0.062609,baixo
0.136752,0.179688,0.25,success,0,baixo
0.40812,0.679687,0.532609,success,0.191304,moderado
0.100427,0.429688,0.347826,success,0.010435,moderado
0.07265,0.265625,0.021739,success,0.011304,baixo
0.094017,0.289062,0.619565,success,0.063478,baixo
0.113248,0.375,0.586957,success,0.053913,baixo
0.141026,0.445312,0.793478,success,0.42,moderado
0.205128,0.398438,0.5,success,0.072174,moderado
0.119658,0.289062,0.880435,success,0.068696,baixo
0.333333,0.632813,0.717391,success,0.231304,moderado
0.141026,0.304688,0.576087,success,0.031304,moderado
0.339744,0.554688,0.597826,running,0.188696,moderado
0.143162,0.359375,0.543478,success,0.046957,baixo
0.143162,0.40625,0.934783,success,0.042609,baixo
0.098291,0.265625,0.815217,success,0.389565,moderado
0.237179,0.546875,0.434783,success,0.029565,moderado
0.570513,0.960938,0.48913,aborted,0.982609,alto
0.517094,0.921875,0.478261,success,0.965217,alto
0.303419,0.6875,0.543478,success,0.256522,moderado
0.055556,0.203125,0.684783,success,0.016522,baixo
0.089744,0.226563,0.641304,success,0.026087,baixo
0.119658,0.328125,0.76087,success,0.029565,baixo
0.264957,0.6875,0.293478,success,0.652174,alto
0.517094,0.960938,0.51087,aborted,0.982609,alto
0.269231,0.539063,0.565217,success,0.072174,moderado
0.160256,0.34375,0.826087,success,0.045217,baixo
0.155983,0.234375,0.445652,success,0.063478,moderado
0.143162,0.3125,0.956522,success,0.207826,baixo
0.423077,0.390625,0.684783,success,0.394783,moderado
0.087607,0.476563,0.695652,success,0.046957,moderado
0.185897,0.53125,0.26087,failed,0.426087,alto
0.361111,0.609375,0.532609,failed,0.127826,moderado
0.277778,0.648438,0.315217,success,0.6,alto
0.378205,0.6875,0.521739,running,0.634783,alto
0.495726,0.53125,0.195652,running,0.495652,alto
0.059829,0.164063,0.652174,success,0.041739,baixo
0.094017,0.492188,0.836957,success,0.20087,baixo
0.160256,0.445312,0.728261,success,0.031304,moderado
0.42094,0.804688,0.423913,aborted,0.791304,alto
0.299145,0.882813,0.467391,aborted,0.852174,alto
0.102564,0.335938,0.967391,success,0.104348,baixo
0.155983,0.484375,0.282609,success,0.026957,moderado
0.051282,0.445312,0.978261,success,0.061739,baixo
0.055556,0.164063,0,success,0.004348,baixo
0.188034,0.375,0.847826,success,0.113043,baixo
0.376068,0.570313,0.673913,success,0.190435,moderado
0.100427,0.3125,0.728261,success,0.01913,baixo
0.209858,0.460938,0.945652,success,0.218261,baixo
0.147436,0.265625,0.945652,success,0.094783,baixo
0.081197,0.390625,0.48913,success,0.04087,moderado
0.198718,0.53125,0.913043,success,0.149565,baixo
0.217949,0.453125,0.380435,success,0.243478,alto
0.168803,0.429688,0.271739,failed,0.02087,moderado
0.228632,0.40625,0.858696,success,0.138261,baixo
0.057692,0.414063,0.782609,success,0.12,moderado
0.356838,0.6875,0.391304,failed,0.678261,alto
0.16453,0.648438,0.336957,aborted,0.582609,alto
0.34188,0.53125,0.119565,running,0.269565,alto
0.126068,0.5,0.847826,success,0.076522,baixo
0.09188,0.039063,0.652174,running,0.022609,baixo
1,0.273438,0.054348,success,0,baixo
0.040598,0.304688,0.73913,success,0.014783,moderado
0.198718,0.460938,0.826087,success,0.096522,baixo
0.111111,0.46875,0.978261,success,0.20087,baixo
0.399573,0.765625,0.423913,failed,0.201739,alto
0.032051,0.242188,0.695652,success,0.018261,baixo
0.442308,0.6875,0.576087,failed,0.66087,alto
0.136752,0.453125,0.934783,success,0.182609,baixo
0.258547,0.375,0.402174,success,0.067826,moderado
0.179487,0.609375,0.23913,failed,0.166087,alto
0.410256,0.84375,0.304348,failed,0.895652,alto
0.07265,0.046875,0.043478,success,0,baixo
0.066239,0.257813,0.771739,success,0.126957,baixo
0.098291,0.296875,0.771739,success,0.035652,moderado
0.057692,0.25,0.75,success,0.087826,moderado
0.262821,0.390625,0.543478,success,0.106957,moderado
0.410256,0.648438,0.141304,failed,0.608696,alto
0.188034,0.492188,0.771739,success,0.108696,baixo
0.200855,0.382813,0.793478,success,0.071304,baixo
0.367521,0.679687,0.75,success,0.104348,moderado
0.147436,0.515625,0.630435,success,0.047826,baixo
0.068376,0.273438,0.826087,success,0.035652,baixo
0.128205,0.367187,0.771739,success,0.141739,baixo
0.147436,0.492188,0.804348,success,0.107826,baixo
0.25,0.492188,0.336957,success,0.26087,alto
0.076923,0.242188,0.826087,success,0.026957,baixo
0.141026,0.429688,0.858696,success,0.225217,baixo
0.192308,0.421875,0.858696,success,0.202609,baixo
0.126068,0.375,0.771739,running,0.05913,moderado
0.410256,0.609375,0.467391,success,0.617391,alto
0.064103,0.28125,0.065217,success,0,baixo
0.141026,0.484375,0.684783,success,0.057391,moderado
0.130342,0.359375,0.858696,success,0.066087,baixo
0.042735,0.140625,0.869565,success,0.072174,baixo
0.209858,0.320313,0.913043,success,0.083478,baixo
0.24359,0.492188,0.336957,success,0.252174,alto
0.790598,0.765625,0.434783,failed,0.189565,alto
0.230769,0.476563,0.456522,success,0.911304,moderado
0.16453,0.546875,0.695652,success,0.044348,moderado
0.431624,0.765625,0.423913,failed,0.773913,alto
0.147436,0.296875,0.565217,success,0.06087,moderado
0.559829,0.882813,0.478261,failed,0.921739,alto
0.098291,0.390625,0.630435,success,0.045217,baixo
0.277778,0.492188,0.391304,success,0.053913,moderado
0.294872,0.578125,0.554348,success,0.061739,moderado
0.070513,0.265625,0.673913,success,0,baixo
0.038462,0.242188,0.554348,success,0.005217,baixo
0.378205,0.570313,0.358696,failed,0.513043,alto
0.149573,0.265625,0.543478,success,0.006087,moderado
0.271368,0.726563,0.097826,aborted,0.721739,alto
0.213675,0.296875,0.684783,success,0.186087,moderado
0.399573,0.6875,0.695652,success,0.24087,moderado
0.061966,0.460938,0.913043,success,0.137391,baixo
0.271368,0.6875,0.119565,running,0.24,alto
0.275641,0.53125,0.73913,success,0.26087,moderado
0.064103,0.09375,0,success,0,baixo
0.143162,0.414063,0.75,running,0.076522,moderado
0.24359,0.414063,0.673913,success,0.166957,moderado
0.378205,0.609375,0.380435,success,0.6,alto
0.209858,0.21875,0.130435,success,0,baixo
0.311966,0.59375,0.521739,success,0.346087,moderado
0.155983,0.34375,0.48913,success,0.094783,moderado
0.401709,0.6875,0.619565,success,0.226087,moderado
0.517094,0.921875,0.478261,failed,0.965217,alto
0.149573,0.3125,0.543478,success,0.06,baixo
0.111111,0.429688,0.608696,success,0.050435,baixo
0.130342,0.351563,0.76087,success,0.034783,moderado
0.155983,0.523437,0.576087,success,0.041739,moderado
0.209858,0.023438,0.663043,running,0,baixo
0.232906,0.445312,0.771739,success,0.076522,moderado
0.527778,0.921875,0.48913,failed,0.208696,alto
0.102564,0.125,0.695652,success,0.052174,baixo
0.128205,0.148438,0.858696,success,0.030435,baixo
0.288462,0.515625,0.793478,success,0.222609,moderado
0.113248,0.4375,0.728261,success,0.012174,moderado
0.42094,0.726563,0.402174,failed,0.226957,alto
0.123932,0.476563,0.293478,success,0.015652,moderado
0.123932,0.429688,0.73913,success,0.20087,moderado
0.155983,0.507813,0.76087,success,0.108696,moderado
0.192308,0.453125,0.358696,running,0.234783,alto
0.130342,0.429688,0.826087,success,0.233913,baixo
0.294872,0.226563,0.663043,running,0.38087,moderado
0.132479,0.4375,0.836957,success,0.056522,baixo
0.029915,0.265625,0.891304,success,0.056522,baixo
0.149573,0.382813,0.73913,success,0.093043,baixo
0.50641,0.882813,0.467391,success,0.930435,alto
0.209858,0.921875,0.48913,failed,0.956522,alto
0.273504,0.40625,0.576087,success,0.117391,moderado
0.126068,0.320313,0.663043,success,0.013043,moderado
0.021368,0.140625,0.858696,success,0.010435,baixo
0.100427,0.320313,0.597826,success,0.001739,moderado
0.111111,0.492188,0.402174,success,0.023478,moderado
0.393162,0.671875,0.652174,success,0.243478,moderado
0.17094,0.40625,0.869565,success,0.113913,baixo
0.267094,0.445312,0.5,success,0.051304,moderado
0.25641,0.765625,0.434783,failed,0.284348,alto
0.33547,0.648438,0.391304,success,0.617391,alto
0.055556,0.273438,0.684783,success,0.063478,moderado
0.388889,0.609375,0.445652,failed,0.591304,alto
0.113248,0.242188,0.771739,success,0.053913,baixo
0.087607,0.398438,0.652174,success,0.018261,moderado
0.399573,0.648438,0.184783,running,0.313043,alto
0.115385,0.351563,0.728261,success,0.061739,baixo
0.282051,0.53125,0.608696,running,0.46087,alto
0.121795,0.492188,0.858696,success,0.171304,moderado
0.123932,0.34375,0.782609,success,0.08,baixo
0.267094,0.4375,0.663043,success,0.066087,moderado
0.198718,0.296875,0.923913,running,0.112174,baixo
0.036325,0.265625,0.793478,success,0.166957,baixo
0.202991,0.4375,0.913043,success,0.168696,baixo
0.202991,0.4375,0.967391,success,0.146957,baixo
0.087607,0.492188,0.847826,success,0.166087,baixo
0.527778,0.921875,0.48913,aborted,0.714783,alto
0.324786,0.648438,0.380435,failed,0.617391,alto
0.230769,0.53125,0.304348,success,0.038261,moderado
0.019231,0.0625,0.043478,success,0,baixo
0.431624,0.570313,0.217391,aborted,0.443478,alto
0.252137,0.515625,0.673913,success,0.126957,moderado
0.209858,0.078125,0.076087,success,0,baixo
0.188034,0.3125,0.554348,success,0.066087,baixo
0.34188,0.570313,0.51087,running,0.452174,alto
0.183761,0.453125,0.663043,failed,0.103478,moderado
0.036325,0.164063,0.891304,success,0.08087,baixo
0.160256,0.171875,0.771739,success,0.150435,baixo
0.570513,0.960938,0.173913,failed,0.973913,alto
0.106838,0.421875,0.695652,success,0.776522,moderado
0.119658,0.546875,0.945652,success,0.237391,baixo
0.098291,0.367187,0.804348,success,0.053913,baixo
0.068376,0.273438,0.663043,success,0.078261,moderado
0.192308,0.460938,0.25,success,0.026087,moderado
0.036325,0.46875,0.869565,running,0.036522,baixo
0.194444,0.359375,0.945652,success,0.07913,baixo
0.241453,0.3125,0.663043,success,0.077391,moderado
0.831197,0.421875,0.413043,success,0.07913,moderado
0.495726,0.882813,0.478261,aborted,0.24087,alto
0.051282,0.328125,0.75,success,0.009565,baixo
0.121795,0.46875,0.804348,success,0.101739,baixo
0.175214,0.414063,0.76087,success,0.044348,moderado
0.042735,0.375,0.163043,success,0.001739,moderado
0.138889,0.226563,0.076087,success,0,baixo
0.224359,0.429688,0.826087,aborted,0.086957,baixo
0.228632,0.804688,0.434783,failed,0.913043,alto
0.207265,0.53125,0.228261,running,0.434783,alto
0.113248,0.554688,0.673913,success,0.050435,baixo
0.230769,0.375,0.641304,success,0.189565,moderado
0.352564,0.640625,0.619565,success,0.195652,moderado
0.209858,0.726563,0.347826,aborted,0.634783,alto
0.196581,0.726563,0.282609,running,0.773913,alto
0.117521,0.359375,0.641304,success,0.005217,moderado
0.119658,0.421875,0.771739,failed,0.066087,moderado
0.33547,0.6875,0.391304,failed,0.608696,alto
0.17735,0.445312,0.869565,success,0.058261,baixo
0.202991,0.539063,0.641304,success,0.05913,baixo
0.228632,0.328125,0.967391,success,0.149565,baixo
0.07906,0.210937,0.467391,running,0.023478,baixo
0.100427,0.523437,0.163043,running,0,moderado
0.059829,0.429688,0.793478,success,0.089565,baixo
0.209402,0.328125,0.423913,success,0.366087,moderado
0.094017,0.21875,0.130435,success,0,baixo
0.50641,1,0.532609,success,1,alto
0.297009,0.554688,0.565217,success,0.131304,moderado
0.074786,0.257813,0.076087,success,0,baixo
0.292735,0.84375,0.402174,success,0.869565,alto
0.209858,0.375,0.847826,running,0.107826,baixo
0.038462,0.117188,0.173913,running,0,baixo
0.399573,0.804688,0.326087,failed,0.826087,alto
0.25641,0.765625,0.434783,running,0.73913,alto
0.07906,0.15625,0.652174,success,0.030435,baixo
0.378205,0.507813,0.641304,running,0.22,moderado
0.166667,0.515625,0.804348,success,0.115652,baixo
0.181624,0.398438,0.902174,success,0.073913,baixo
0.108974,0.148438,0.978261,success,0.085217,baixo
0.275641,0.53125,0.782609,success,0.126087,moderado
0.311966,0.539063,0.51087,success,0.055652,moderado
0.055556,0.226563,0.847826,success,0.097391,baixo
0.055556,0.523437,0.815217,success,0.049565,moderado
0.160256,0.507813,0.532609,success,0.048696,moderado
0.166667,0.125,0.25,success,0,baixo
0.226496,0.320313,0.73913,success,0.186087,moderado
0.07906,0.429688,0.880435,success,0.14087,moderado
0.260684,0.53125,0.26087,success,0.443478,alto
0.286325,0.46875,0.663043,success,0.152174,moderado
0.121795,0.367187,0.880435,success,0.042609,baixo
0.08547,0.523437,0.913043,success,0.047826,baixo
0.096154,0.101563,0.782609,success,0.015652,baixo
0.211538,0.5625,0.945652,success,0.190435,baixo
0.036325,0.085938,0.119565,success,0,baixo
0.297009,0.570313,0.434783,failed,0.308696,moderado
0.200855,0.554688,0.847826,success,0.153913,baixo
0.16453,0.414063,0.717391,success,0.045217,baixo
0.166667,0.476563,0.76087,success,0.069565,moderado
0.202991,0.476563,0.26087,running,0.218261,moderado
0.683761,0.765625,0.423913,failed,0.773913,alto
0.267094,0.476563,0.663043,success,0.126957,moderado
0.155983,0.4375,0.75,success,0.062609,moderado
0.051282,0.28125,0.119565,success,0,baixo
0.316239,0.632813,0.532609,success,0.205217,moderado
0.166667,0.515625,0.043478,success,0.064348,moderado
0.463675,0.570313,0.23913,failed,0.443478,alto
0.211538,0.328125,0.434783,success,0.011304,moderado
0.196581,0.609375,0.358696,success,0.282609,alto
0.207265,0.453125,0.48913,running,0.243478,alto
0.198718,0.476563,0.902174,success,0.197391,baixo
0.213675,0.414063,0.108696,success,0.006957,moderado
0.495726,0.882813,0.456522,running,0.875652,alto
0.179487,0.460938,0.402174,running,0.046087,moderado
0.346154,0.6875,0.391304,running,0.652174,alto
0.143162,0.304688,0.815217,success,0.101739,baixo
0.143162,0.257813,0.434783,success,0.049565,moderado
0.209858,0.203125,0.858696,success,0,baixo
0.232906,0.617188,0.75,success,0.086087,moderado
0.33547,0.601562,0.73913,success,0.211304,moderado
0.070513,0.507813,0.663043,success,0.052174,moderado
0.211538,0.515625,0.554348,success,0.089565,moderado
0.67735,1,0.5,aborted,0.27913,alto
0.098291,0.390625,0.141304,success,0.296522,moderado
0.25641,0.648438,0.369565,success,0.556522,alto
0.527778,0.921875,0.48913,aborted,0.956522,alto
0.002137,0.054687,0.054348,success,0,baixo
0.192308,0.484375,0.565217,success,0.062609,baixo
0.224359,0.539063,0.673913,success,0.173043,moderado
0.346154,0.46875,0.543478,aborted,0.166087,moderado
0.183761,0.515625,0.673913,success,0.036522,baixo
0.228632,0.53125,0.163043,running,0.155652,alto
0.346154,0.6875,0.130435,failed,0.643478,alto
0.299145,0.671875,0.608696,failed,0.111304,moderado
0.344017,0.609375,0.130435,success,0.005217,moderado
0.303419,0.554688,0.815217,running,0.154783,moderado
0.059829,0.25,0.119565,success,0,baixo
0.151709,0.429688,0.184783,success,0.064348,moderado
0.138889,0.484375,0.869565,success,0.104348,baixo
0.123932,0.4375,0.869565,success,0.04087,baixo
0.192308,0.53125,0.271739,failed,0.443478,alto
0.17094,0.4375,0.76087,running,0.058261,moderado
0.252137,0.351563,0.48913,success,0.068696,moderado
0.076923,0.046875,0,success,0,baixo
0.264957,0.476563,0.793478,running,0.092174,moderado
0.113248,0.382813,0.771739,running,0.092174,baixo
0.119658,0.367187,0.673913,success,0.006957,moderado
0.431624,0.492188,0.25,running,0.2,alto
0.25,0.765625,0.434783,success,0.198261,alto
0.115385,0.109375,0.23913,success,0,baixo
0.104701,0.375,0.98913,success,0.216522,baixo
0.188034,0.4375,0.565217,success,0.06,baixo
0.047009,0.257813,0,success,0,baixo
0.136752,0.4375,0.663043,success,0.068696,baixo
0.15812,0.273438,0.521739,success,0.032174,moderado
0.356838,0.609375,0.391304,failed,0.608696,alto
0.038462,0.265625,0.423913,success,0.013043,moderado
0.245726,0.375,0.76087,success,0.072174,moderado
0.277778,0.40625,0.771739,success,0.086957,moderado
0.17735,0.398438,0.543478,success,0.107826,baixo
0.100427,0.453125,0.652174,success,0.070435,moderado
0.267094,0.320313,0.597826,success,0.044348,moderado
0.260684,0.726563,0.423913,running,0.269565,alto
0.081197,0.4375,0.586957,success,0.393913,moderado
0.194444,0.5,0.902174,success,0.215652,baixo
0.070513,0.320313,0.728261,running,0.052174,moderado
0.111111,0.4375,0.728261,success,0.116522,baixo
0.254274,0.570313,0.619565,success,0.054783,moderado
0.239316,0.492188,0.336957,running,0.252174,alto
0.113248,0.570313,0.717391,running,0.09913,moderado
0.217949,0.648438,0.369565,success,0.617391,alto
0.681624,0.570313,0.217391,aborted,0.443478,alto
0.014957,0.148438,0.891304,success,0.026087,baixo
0.106838,0.4375,0.771739,success,0.054783,baixo
0.143162,0.46875,0.26087,success,0.032174,moderado
0.132479,0.390625,0.48913,success,0.246957,moderado
0.388889,0.726563,0.413043,success,0.747826,alto
0.209858,0.453125,0.771739,success,0.085217,baixo
0.141026,0.460938,0.73913,success,0.089565,baixo
0.066239,0.195313,0.858696,running,0,baixo
0.044872,0.195313,0.826087,aborted,0,baixo
0,0.007813,0,success,0,baixo
0.134615,0.328125,0.902174,success,0.058261,baixo
0.410256,0.765625,0.423913,aborted,0.773913,alto
0.209858,0.296875,0.836957,success,0.012174,baixo
0.096154,0.226563,0.826087,success,0.116522,baixo
0.311966,0.617188,0.804348,success,0.123478,moderado
0.16453,0.21875,0.771739,success,0.073913,baixo
0.042735,0.117188,0.836957,success,0.024348,baixo
0.149573,0.554688,0.967391,success,0.202609,baixo
0.209858,0.4375,0.793478,success,0.112174,baixo
0.200855,0.296875,0.434783,success,0.066087,moderado
0.297009,0.320313,0.641304,success,0.062609,moderado
0.094017,0.195313,0.597826,success,0.007826,baixo
0.311966,0.65625,0.282609,success,0.076522,moderado
0.151709,0.257813,0.641304,success,0.114783,moderado
0.185897,0.53125,0.26087,success,0.426087,alto
0.168803,0.507813,0.565217,success,0.051304,baixo
0.179487,0.554688,0.684783,success,0.212174,moderado
0.220085,0.226563,0.782609,success,0.055652,moderado
0.008547,0.101563,0.01087,success,0,baixo
0.17735,0.289062,0.782609,success,0.216522,moderado
0.106838,0.492188,0.771739,success,0.037391,baixo
0.495726,0.765625,0.423913,aborted,0.686957,alto
0.021368,0.054687,0.141304,running,0,baixo
0.517094,0.921875,0.478261,success,0.965217,alto
0.173077,0.375,0.630435,success,0.070435,moderado
0.102564,0.382813,0.478261,success,0.013913,moderado
0.143162,0.429688,0.054348,success,0.070435,baixo
0.405983,0.5625,0.597826,failed,0.233913,moderado
0.378205,0.453125,0.413043,success,0.151304,moderado
0.17094,0.507813,0.98913,failed,0.086957,baixo
0.179487,0.257813,0.554348,success,0.036522,moderado
0.123932,0.40625,0.586957,success,0.028696,moderado
0.061966,0.429688,0.793478,success,0.085217,baixo
0.209858,0.632813,0.576087,success,0.20087,moderado
