@relation datacenter_ai_environmental_waste_risk_v2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R27-29-weka.filters.unsupervised.attribute.NumericToNominal-R16-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute active_power_w numeric
@attribute energy_consumption_kwh numeric
@attribute water_usage_effectiveness numeric
@attribute carbon_intensity_gco2_kwh numeric
@attribute inlet_temperature_c numeric
@attribute exhaust_temperature_c numeric
@attribute delta_t_c numeric
@attribute fan_speed_rpm numeric
@attribute cooling_method {air,liquid,immersion,hybrid}
@attribute cpu_utilization_percent numeric
@attribute memory_utilization_percent numeric
@attribute gpu_power_w numeric
@attribute gpu_utilization_percent numeric
@attribute gpu_temperature_c numeric
@attribute gpu_core_frequency_mhz numeric
@attribute num_gpus {1,2,4,8,16}
@attribute ai_workload_type {training,inference,fine_tuning,idle}
@attribute batch_size numeric
@attribute num_epochs numeric
@attribute model_parameter_size_million numeric
@attribute training_samples numeric
@attribute job_duration_hours numeric
@attribute job_status {success,failed,aborted,running}
@attribute rack_power_density_kw numeric
@attribute gpu_sharing_mode {full_gpu,temporal_sharing,mig,none}
@attribute power_cap_w numeric
@attribute environmental_waste_risk_level {baixo,moderado,alto}

@data
0.617575,0.610526,0.175214,0.458484,0.390625,0.570539,0.645604,0.574604,liquid,0.903614,0.825,0.612278,0.684783,0.746032,0.70459,8,training,1,0.812081,0.826547,0.198059,0.598941,success,0.090435,full_gpu,0.914815,moderado
0.217926,0.216667,0.215812,0.38452,0.414063,0.429461,0.450549,0.303924,air,0.614458,0.55,0.33441,0.630435,0.571429,0.503555,4,inference,0.249634,0,0.067017,0.048492,0.012648,success,0.027826,full_gpu,0.288272,moderado
0.891916,0.894737,0.527778,0.821901,0.882813,0.948133,0.972527,0.926232,air,0.614458,0.7125,0.93538,0.467391,0.761905,0.659341,16,training,0.499756,0.697987,0.664015,0.736607,0.783417,aborted,0.168696,full_gpu,1,alto
0.147012,0.14386,0.053419,0.144404,0.007813,0.03527,0.071429,0.243385,liquid,0.53012,0.4625,0.429725,0.793478,0.52381,0.372334,1,inference,0.030777,0,0.01312,0.022254,0.013134,success,0.006957,full_gpu,0.171252,baixo
0.298418,0.297368,0.098291,0.192539,0.367187,0.29668,0.244505,0.186486,air,0.843373,0.6125,0.636511,0.913043,0.777778,0.633484,4,fine_tuning,0.187103,0.040268,0.064759,0.010377,0.060753,running,0.042609,mig,0.343827,baixo
0.474956,0.469298,0.134615,0.290012,0.328125,0.556017,0.648352,0.512737,liquid,0.771084,0.8625,0.633279,0.793478,0.777778,0.638655,8,fine_tuning,0.374695,0.04698,0.107779,0.105742,0.120966,success,0.123478,temporal_sharing,0.640212,baixo
0.710369,0.707895,0.126068,0.341757,0.4375,0.70332,0.804945,0.548736,liquid,0.987952,0.8125,0.655897,0.880435,0.793651,0.892696,16,training,0.499756,0.530201,0.470875,0.690431,0.384898,success,0.141739,full_gpu,0.820811,baixo
0.495606,0.492105,0.209858,0.280385,0.53125,0.657676,0.711538,0.518049,hybrid,0.313253,0.45,0.596123,0.271739,0.730159,0.387847,8,idle,0.00342,0,0.001151,0.000377,0.030485,success,0.46087,temporal_sharing,0.673721,alto
0.312127,0.308772,0.098291,0.146811,0.382813,0.342324,0.346154,0.418806,liquid,0.759036,0.6375,0.52504,0.793478,0.714286,0.645766,4,fine_tuning,0.249634,0.087248,0.056967,0.093334,0.052267,success,0.330435,full_gpu,0.363228,moderado
0.545167,0.551754,0.066239,0.249097,0.21875,0.394191,0.472527,0.401347,liquid,0.674699,0.9125,0.896607,0.826087,0.888889,0.692954,8,training,1,0.208054,0.691879,0.795642,0.089347,success,0.093913,full_gpu,0.685273,baixo
0.217223,0.217544,0.100427,0.216606,0.125,0.352697,0.450549,0.343317,air,0.759036,0.5375,0.489499,0.652174,0.650794,0.681319,2,fine_tuning,0.187103,0.087248,0.056052,0.005093,0.059727,success,0.010435,full_gpu,0.308907,baixo
1,1,0.121795,0.255114,0.390625,0.421162,0.447802,0.377299,air,0.036145,0.6,0.471729,0.173913,0.539683,0.453782,4,inference,0.124573,0,0.08638,0.048272,0.011243,success,0.082609,temporal_sharing,0.265697,moderado
0.848067,0.735965,0.217949,1,0.453125,0.574689,0.629121,0.439363,hybrid,0.373494,0.4875,0.483037,0.391304,0.634921,0.426632,4,inference,0.062042,0,0.035316,0.025545,0.022918,success,0.252174,mig,0.52381,alto
0.041916,0.042982,0.049145,0.178099,0.234375,0.049793,0.010989,0.048884,air,0.204819,0.0125,0.071082,0.086957,0.126984,0.312217,1,idle,0.000489,0,0.000679,0.000284,0.002162,success,0,mig,0.060494,baixo
0.420035,0.424561,0.33547,0.527076,0.53125,0.616183,0.656593,0.522966,liquid,0.277108,0.4,0.53958,0.25,0.698413,0.374919,8,idle,0.001466,0,0.001077,0.000336,0.027242,failed,0.16087,temporal_sharing,0.57672,alto
0.622408,0.618421,0.32265,0.548736,0.617188,0.761411,0.818681,0.66047,hybrid,0.674699,0.7,0.633279,0.48913,0.746032,0.690368,8,training,0.499756,0.362416,0.362889,0.794239,0.369061,success,0.353913,full_gpu,0.892504,moderado
0.130404,0.133333,0.217949,0.537906,0.554688,0.688797,0.744505,0,air,0.192771,0.325,0.156704,0.130435,0.920635,0.323853,2,idle,0.000489,0,0.000635,0.000972,0.004973,success,0.034783,none,0.246296,moderado
0.17355,0.171053,0.064103,0.077016,0.140625,0.288382,0.35989,0.202026,air,0.578313,0.425,0.345719,0.858696,0.571429,0.594053,2,inference,0.124573,0,0.018462,0.016941,0.00373,success,0.026087,temporal_sharing,0.231481,baixo
0.382162,0.386842,0.271368,0.237064,0.351563,0.443983,0.491758,0.439264,hybrid,0.53012,0.775,0.421648,0.663043,0.666667,0.652877,8,inference,0.030777,0,0.081229,0.013799,0.016918,success,0.110435,temporal_sharing,0.458201,moderado
0.449033,0.448246,0.16453,0.23586,0.296875,0.441909,0.508242,0.367365,liquid,0.73494,0.575,0.689822,0.673913,0.761905,0.764706,4,fine_tuning,0.187103,0.080537,0.072684,0.096329,0.15237,success,0.266957,full_gpu,0.557407,moderado
0.866784,0.479825,0.324786,0.503008,0.570313,0.657676,0.697802,0.557392,liquid,0.325301,0.425,0.030695,0.01087,0.714286,0.413704,8,idle,0.001466,0,0.000708,0.000234,0.026161,aborted,0.193043,mig,0.656085,alto
0.328559,0.324561,0.149573,0.267148,0.226563,0.356846,0.42033,0.433805,liquid,0.578313,0.65,0.568659,0.608696,0.68254,0.563025,8,inference,0.124573,0,0.080978,0.022096,0.015999,success,0.056522,temporal_sharing,0.411023,baixo
0.206678,0.210526,0.117521,0.382671,0.460938,0.483402,0.505495,0.412806,air,0.518072,0.5875,0.337641,0.391304,0.539683,0.411118,4,inference,0.249634,0,0.026978,0.037741,0.024323,success,0.046957,full_gpu,0.257584,moderado
0.865554,0.870175,0.485043,0.743682,0.882813,0.927386,0.945055,0.891807,air,0.566265,0.6875,0.919225,0.467391,0.777778,0.639948,16,training,0.499756,0.731544,0.649257,0.695683,0.70234,aborted,0.921739,mig,1,alto
0.018981,0.020175,0.004274,0.072202,0.21875,0.174274,0.181319,0.089751,air,0.144578,0.1875,0.027464,0.086957,0.063492,0.202973,2,idle,0.001466,0,0.000192,0.000446,0.003838,success,0,mig,0.03157,baixo
0.940246,0.94386,0.292735,0.478941,0.921875,0.937759,0.945055,0.872135,hybrid,0.578313,0.7,0.951535,0.521739,0.968254,0.672269,16,training,0.374695,0.865772,0.737806,0.777531,0.837468,success,0.965217,temporal_sharing,1,alto
0.634446,0.637719,0.367521,0.551143,0.648438,0.73029,0.766484,0.645913,hybrid,0.457831,0.575,0.725363,0.391304,0.809524,0.51713,8,fine_tuning,0.124573,0.154362,0.110583,0.09614,0.291552,aborted,0.626087,temporal_sharing,0.823633,alto
0.769947,0.771053,0.435897,0.438026,0.59375,0.547718,0.543956,0.673207,liquid,0.879518,0.85,0.825525,0.706522,0.888889,0.840983,16,training,1,0.328859,0.241695,0.828156,0.510675,success,0.165217,full_gpu,1,moderado
0.388401,0.390351,0.303419,0.551143,0.492188,0.564315,0.601648,0.444281,liquid,0.349398,0.4375,0.483037,0.347826,0.634921,0.413704,4,inference,0.124573,0,0.036792,0.028615,0.027242,running,0.252174,temporal_sharing,0.541446,alto
0.380668,0.385965,0.267094,0.548736,0.421875,0.578838,0.645604,0.539146,hybrid,0.542169,0.8,0.476575,0.554348,0.666667,0.597931,8,inference,0.249634,0,0.042076,0.013942,0.012162,success,0.11913,temporal_sharing,0.482628,moderado
0.636204,0.639474,0.442308,0.623345,0.765625,0.813278,0.835165,0.808203,air,0.289157,0.5,0.781906,0.217391,0.857143,0.510666,8,inference,0.015144,0,0.005062,0.001809,0.013729,failed,0.704348,full_gpu,0.876543,alto
0.385413,0.383333,0.196581,0.150421,0.328125,0.443983,0.5,0.447182,hybrid,0.578313,0.75,0.508885,0.706522,0.68254,0.664512,4,fine_tuning,0.187103,0.087248,0.117254,0.183324,0.08913,success,0.06,full_gpu,0.501323,moderado
0.245343,0.247368,0.117521,0.290012,0.40625,0.437759,0.464286,0.277614,air,0.650602,0.9,0.612278,0.880435,0.761905,0.75501,4,fine_tuning,0.093307,0.067114,0.076684,0.027206,0.027404,success,0.04087,full_gpu,0.347795,baixo
0.347012,0.349123,0.277778,0.276775,0.429688,0.481328,0.549451,0.463214,hybrid,0.831325,0.8,0.489499,0.706522,0.698413,0.67033,4,fine_tuning,0.124573,0.174497,0.06104,0.058734,0.076158,success,0.054783,full_gpu,0.464462,moderado
0.096221,0.094737,0.053419,0.026474,0.21875,0.217842,0.239011,0.102243,air,0.373494,0.35,0.135703,0.576087,0.365079,0.546218,2,inference,0.062042,0,0.011305,0.015444,0.011729,success,0.006087,full_gpu,0.120459,baixo
0.834798,0.82807,0.527778,0.755716,0.882813,0.917012,0.931319,0.886889,air,0.554217,0.7,0.870759,0.413043,0.920635,0.614092,16,fine_tuning,0.249634,0.261745,0.29506,0.306901,0.480731,success,0.886957,full_gpu,1,alto
0.821353,0.818421,0.211538,0.518652,0.53125,0.636929,0.684066,0.761385,hybrid,0.903614,0.9125,0.773829,0.684783,0.84127,0.785391,16,training,0.374695,0.328859,0.855724,0.908168,0.5457,success,0.225217,full_gpu,1,moderado
0.276977,0.279825,0.094017,0.132371,0.367187,0.410788,0.442308,0.391413,hybrid,0.73494,0.7125,0.489499,0.663043,0.68254,0.592114,4,fine_tuning,0.187103,0.120805,0.117106,0.174441,0.108967,success,0.029565,full_gpu,0.346914,moderado
0.241828,0.245614,0.123932,0.551143,0.367187,0.481328,0.535714,0.464296,liquid,0.481928,0.575,0.310178,0.771739,0.587302,0.612153,4,inference,0.124573,0,0.083841,0.041738,0.018702,success,0.03913,mig,0.315785,baixo
0.178822,0.180702,0.08547,0.197353,0.171875,0.244813,0.291209,0.200108,air,0.638554,0.5375,0.439418,0.75,0.587302,0.391726,2,fine_tuning,0.030777,0.107383,0.022934,0.016927,0.04243,success,0.006087,full_gpu,0.223633,baixo
0.619947,0.62193,0.290598,0.626955,0.648438,0.558091,0.538462,0.62334,liquid,0.638554,0.9625,0.44588,0.804348,0.698413,0.787977,8,fine_tuning,0.187103,0.09396,0.041618,0.045103,0.114534,success,0.152174,mig,0.980952,moderado
0.874165,0.635088,0.284188,0.33574,0.382813,0.439834,0.475275,0.610849,liquid,0.698795,0.8,0.059774,0.173913,0.809524,0.665805,8,training,0.749878,0.530201,0.607536,0.754225,0.612291,running,0.14087,full_gpu,0.840917,moderado
0.619684,0.616667,0.16453,0.425993,0.5625,0.634855,0.67033,0.625947,liquid,0.86747,0.7875,0.612278,0.706522,0.761905,0.727214,8,training,0.374695,0.536913,0.272451,0.261163,0.497973,success,0.142609,full_gpu,0.743739,moderado
0.516081,0.520175,0.100427,0.359807,0.484375,0.53112,0.56044,0.350693,hybrid,0.60241,0.6875,0.290792,0.652174,0.492063,0.517776,4,inference,0.124573,0,0.020455,0.013525,0.01281,success,0.052174,temporal_sharing,0.657231,baixo
0.487258,0.485965,0.273504,0.38452,0.5,0.558091,0.590659,0.467149,hybrid,0.939759,0.6375,0.518578,0.815217,0.730159,0.7298,8,inference,0.249634,0,0.074352,0.035391,0.024593,success,0.116522,temporal_sharing,0.57037,moderado
0.900703,0.904386,0.602564,0.815884,0.921875,0.948133,0.958791,0.926232,air,0.325301,0.4625,0.903069,0.23913,0.936508,0.555915,16,idle,0.007328,0,0.001077,0.000408,0.038052,running,0.965217,full_gpu,1,alto
0.039104,0.038596,0.209858,0,0.078125,0,0,0.119799,air,0.072289,0.225,0.085622,0.065217,0.063492,0.047188,4,idle,0.001466,0,0.001535,0.000849,0.003513,success,0,temporal_sharing,0.055291,baixo
0.739895,0.733333,0.260684,0.394705,0.726563,0.813278,0.848901,0.621324,hybrid,0.518072,0.625,0.806139,0.423913,0.857143,0.549451,16,training,0.249634,0.630872,0.486917,0.531985,0.626669,failed,0.730435,mig,0.929453,alto
0.133831,0.130702,0.17094,0.702768,0.59375,0.695021,0.739011,0.386545,hybrid,0.072289,0.325,0.294023,0.152174,0.333333,0.493859,4,idle,0.00342,0,0.004206,0.000224,0.035458,success,0.052174,temporal_sharing,0.217989,moderado
0.931459,0.920175,0.239316,0.358604,0.921875,0.917012,0.96978,0.813121,liquid,0.566265,0.675,0.903069,0.5,0.936508,0.633484,16,training,0.749878,0.932886,0.826355,0.900305,0.891519,success,0.241739,full_gpu,1,alto
0.03638,0.035088,0.023504,0.049338,0.101563,0.151452,0.192308,0.486944,hybrid,0.048193,0.1875,0.048465,0.01087,0.079365,0.028442,2,idle,0,0,0.001358,0.000178,0.000919,success,0,mig,0.06358,baixo
0.425308,0.427193,0.324786,0.515042,0.53125,0.616183,0.656593,0.513131,liquid,0.144578,0.4,0.547658,0.25,0.679474,0.374919,8,idle,0.001466,0,0.001004,0.000305,0.026161,success,0.408696,full_gpu,0.585538,alto
0.793937,0.781579,0.211538,0.55355,0.515625,0.655602,0.714286,0.609472,immersion,0.915663,0.9875,0.825525,0.836957,0.904762,0.939884,16,training,0.499756,0.785235,0.298484,0.771636,0.542998,success,0.225217,full_gpu,0.997178,baixo
0.473989,0.468421,0.147436,0.54994,0.5,0.580913,0.620879,0.450477,hybrid,0.879518,0.775,0.489499,0.826087,0.698413,0.725275,8,fine_tuning,0.187103,0.167785,0.070972,0.157554,0.115507,success,0.112174,full_gpu,0.579806,baixo
0.392707,0.392105,0.094017,0.38452,0.351563,0.489627,0.552198,0.401692,liquid,0.903614,0.9875,0.933764,0.869565,0.761905,0.811894,4,training,0.499756,0.422819,0.918653,0.52682,0.28939,success,0.056522,full_gpu,0.437302,baixo
0.446397,0.45,0.185897,0.286402,0.53125,0.616183,0.656593,0.498377,hybrid,0.289157,0.4,0.555735,0.25,0.679474,0.374919,8,idle,0.00342,0,0.001004,0.000326,0.028863,success,0.408696,mig,0.611993,alto
0.332074,0.336842,0.087607,0.303249,0.382813,0.533195,0.598901,0.349464,hybrid,0.831325,0.725,0.513732,0.913043,0.793651,0.52424,8,training,0.124573,0.127517,0.317404,0.65201,0.42122,success,0.06087,full_gpu,0.428307,baixo
0.584359,0.583333,0.254274,0.258724,0.476563,0.558091,0.598901,0.506098,hybrid,0.722892,0.6625,0.788368,0.641304,0.84127,0.808016,8,fine_tuning,0.187103,0.134228,0.036645,0.076061,0.072807,success,0.133913,full_gpu,0.793034,moderado
0.465729,0.467544,0.175214,0.286402,0.53125,0.564315,0.587912,0.020606,air,0.313253,0.45,0.57189,0.271739,0.952381,0.413704,8,idle,0.00342,0,0.001004,0.000356,0.026701,success,0.123478,full_gpu,0.638448,alto
0.048682,0.05,0.025641,0.066185,0.039063,0.120332,0.173077,0.05331,air,0.144578,0.175,0.027464,0.032609,0.015873,0.139625,1,idle,0.001466,0,0.00003,0.000202,0.003784,success,0,full_gpu,0.069929,baixo
0.535677,0.52807,0.081197,0.277978,0.414063,0.506224,0.552198,0.486944,liquid,0.843373,0.8625,0.600969,0.967391,0.746032,0.88106,16,training,0.749878,0.442953,0.313774,0.157916,0.130209,success,0.129565,full_gpu,0.640917,baixo
0.622144,0.555263,0.378205,0.490975,0.648438,0.73029,0.766484,0.63116,hybrid,0.39759,0.55,0.717286,0.358696,0.793651,0.510666,8,inference,0.015144,0,0.011703,0.007641,0.031025,success,0.268696,full_gpu,0.814815,alto
0.554218,0.545614,0.134615,0.394705,0.375,0.56639,0.645604,0.549474,liquid,0.951807,0.9875,0.914378,0.967391,0.809524,1,8,training,0.499756,0.718121,0.861804,0.501517,0.108805,success,0.104348,full_gpu,0.713845,baixo
0.353251,0.35614,0.378205,0.677497,0.53125,0.585062,0.615385,0.874693,hybrid,0.240964,0.575,0.426494,0.358696,0.603175,0.465417,4,inference,0.124573,0,0.036792,0.028615,0.031566,success,0.252174,temporal_sharing,0.479718,alto
0.40246,0.405263,0.213675,0.322503,0.53125,0.605809,0.642857,0.936117,liquid,0.120482,0.55,0.523425,0.01087,0.68254,0.452489,4,fine_tuning,0.124573,0.09396,0.073688,0.06647,0.20507,success,0.269565,temporal_sharing,0.559083,alto
0.447276,0.449123,0.185897,0.298436,0.53125,0.616183,0.656593,0.498377,liquid,0.301205,0.4125,0.555735,0.26087,0.698413,0.387847,8,idle,0.001466,0,0.001151,0.000387,0.027782,failed,0.203478,full_gpu,0.611993,alto
0.536204,0.558772,0.108974,0.322503,0.25,0.537344,0.651099,0.551884,hybrid,0.939759,0.8,0.639742,0.934783,0.730159,0.859082,8,training,0.249634,0.463087,0.59961,0.460225,0.332252,running,0.072174,full_gpu,0.746914,baixo
0.799649,0.792105,0.474359,0.707581,0.765625,0.844398,0.876374,0.744271,liquid,0.53012,0.6375,0.822294,0.445652,0.873016,0.588235,16,fine_tuning,0.187103,0.208054,0.184374,0.15855,0.405059,failed,0.782609,full_gpu,1,alto
0.593146,0.595614,0.209858,0.599278,0.648438,0.719917,0.752747,0.640995,air,0.361446,0.5125,0.693053,0.336957,0.777778,0.484809,8,inference,0.062042,0,0.017607,0.012245,0.031566,failed,0.6,full_gpu,0.78836,alto
0.759227,0.764035,0.307692,0.631769,0.578125,0.692946,0.741758,0.649749,immersion,0.807229,0.6625,0.812601,0.771739,0.825397,0.731739,16,training,1,0.530201,0.426157,0.353271,0.589157,success,0.182609,full_gpu,1,moderado
0.128471,0.126316,0.002137,0.037304,0.242188,0.170124,0.167582,0.118914,air,0.481928,0.525,0.3021,0.717391,0.52381,0.519069,2,inference,0.015144,0,0.012928,0.00375,0.004865,success,0.005217,temporal_sharing,0.146561,baixo
0.653076,0.660526,0.130342,0.320096,0.390625,0.657676,0.760989,0.642372,liquid,1,0.825,0.882068,0.891304,0.873016,0.922431,8,training,0.499756,0.369128,0.259715,0.553172,0.531215,success,0.134783,full_gpu,0.87866,baixo
0.405624,0.407895,0.155983,0.503008,0.40625,0.60166,0.681319,0.457018,hybrid,0.783133,0.6125,0.657512,0.728261,0.777778,0.648352,4,fine_tuning,0.124573,0.040268,0.210614,0.127059,0.081023,success,0.052174,full_gpu,0.564374,moderado
0.186555,0.183333,0.138889,0.399519,0.429688,0.614108,0.68956,0.486944,air,0.409639,0.675,0.386107,0.608696,0.539683,0.5766,1,inference,0.249634,0,0.021148,0.022153,0.003189,running,0.023478,temporal_sharing,0.267372,moderado
0.47355,0.47807,0.102564,0.471721,0.429688,0.582988,0.648352,0.564621,liquid,0.771084,0.7625,0.478191,0.913043,0.714286,0.870718,8,fine_tuning,0.374695,0.114094,0.088269,0.144373,0.044808,success,0.090435,full_gpu,0.551499,baixo
0.366344,0.362281,0.036325,0.084236,0.421875,0.616183,0.695055,0.350251,immersion,0.795181,0.725,0.576737,0.978261,0.714286,0.888817,4,training,0.749878,0.516779,0.351879,0.324492,0.388249,success,0.067826,full_gpu,0.495503,baixo
0.442091,0.434211,0.138889,0.058965,0.453125,0.622407,0.692308,0.448461,immersion,0.939759,0.9125,0.500808,0.869565,0.777778,0.69554,8,training,0.124573,0.436242,0.263257,0.258705,0.427815,success,0.06087,full_gpu,0.543386,baixo
0.669596,0.664912,0.16453,0.280385,0.6875,0.761411,0.793956,0.586899,liquid,0.325301,0.5,0.733441,0.304348,0.825397,0.478345,8,inference,0.030777,0,0.032365,0.019407,0.03589,failed,0.669565,full_gpu,0.858907,alto
0.523199,0.517544,0.194444,0.287605,0.4375,0.549793,0.601648,0.954854,hybrid,0.963855,0.8125,0.602585,0.891304,0.888889,0.828054,8,training,0.499756,0.912752,0.434865,0.276327,0.399816,success,0.084348,full_gpu,0.685626,baixo
0.768893,0.541228,0.42094,0.617329,0.609375,0.69917,0.739011,0.616406,liquid,0.578313,0.6875,0.135703,0.021739,0.679474,0.555915,8,fine_tuning,0.124573,0.161074,0.103204,0.090001,0.280742,aborted,0.513043,full_gpu,0.717813,alto
0.152636,0.153509,0.209858,0.308063,0.257813,0.36722,0.450549,0.166913,air,0.662651,0.625,0.400646,0.902174,0.746032,0.530705,2,fine_tuning,0.030777,0.053691,0.033176,0.048455,0.049511,success,0.002609,full_gpu,0.196649,baixo
0.311951,0.307895,0.16453,0.404332,0.429688,0.375519,0.373626,0.399774,liquid,0.698795,0.725,0.476575,0.771739,0.68254,0.632191,4,inference,0.249634,0,0.051004,0.020122,0.008594,success,0.046957,temporal_sharing,0.391887,baixo
0.549209,0.54386,0.175214,0.268351,0.53125,0.657676,0.711538,0.638536,air,0.325301,0.5,0.652666,0.271739,0.679474,0.442793,8,idle,0.001466,0,0.000487,0.000275,0.029944,success,0.168696,temporal_sharing,0.726631,alto
0.847012,0.427193,0.209858,0.515042,0.53125,0.616183,0.656593,0.513131,liquid,0.289157,0.4,0.033926,0.01087,0.698413,0.374919,8,idle,0.001466,0,0.001004,0.000305,0.026161,aborted,0.408696,mig,0.585538,alto
0.960896,0.746491,0.15812,0.972323,0.4375,0.504149,0.541209,0.988886,hybrid,0.698795,0.675,0.534733,0.673913,0.888889,0.688429,4,fine_tuning,0.062042,0.060403,0.178589,0.145049,0.09259,success,0.050435,temporal_sharing,0.550088,moderado
0.469244,0.47193,0.356838,0.659446,0.570313,0.605809,0.629121,0.655749,hybrid,0.156627,0.2375,0.53958,0.076087,0.698413,0.32967,4,idle,0.001466,0,0.000413,0.00009,0.020215,running,0.330435,full_gpu,0.585538,alto
0.075044,0.073684,0.044872,0.157641,0.148438,0.278008,0.343407,0.156634,air,0.289157,0.5625,0.168013,0.76087,0.412698,0.351002,1,inference,0.124573,0,0.001845,0.022616,0.011999,success,0,full_gpu,0.109436,baixo
0.105712,0.10614,0.117521,0.303249,0.367187,0.363071,0.379121,0.327924,air,0.698795,0.625,0.357027,0.771739,0.539683,0.509373,2,inference,0.030777,0,0.029295,0.023996,0.022269,success,0.250435,full_gpu,0.139771,moderado
0.141301,0.14386,0.047009,0.38452,0.179688,0.221992,0.258242,0.075489,hybrid,0.13253,0.5375,0.177706,0.5,0.380952,0.378151,2,inference,0.007328,0,0.007763,0.011989,0.010756,success,0.016522,temporal_sharing,0.185097,baixo
0.558787,0.557895,0.08547,0.164862,0.40625,0.470954,0.508242,0.531622,liquid,0.903614,0.9125,0.788368,0.869565,0.873016,0.798966,8,training,0.499756,0.167785,0.300462,0.850253,0.360143,success,0.150435,full_gpu,0.688007,moderado
0.465729,0.461404,0.192308,0.310469,0.53125,0.605809,0.67033,0.493459,hybrid,0.313253,0.45,0.563813,0.271739,0.714286,0.413704,8,idle,0.00342,0,0.001077,0.000367,0.027242,running,0.443478,temporal_sharing,0.62963,alto
